run;dhw_lph_per_person;people_m2_per_person;gen_lighting_gain;computer_gain;Gas_MWh;Elec_MWh;Gas_kWh/m2;Elec_kWh/m2;Boilers_MWh;Chillers_MWh;Boilers_kWh/m2;Chillers_kWh/m2;CE_kgCO2/m2;UK_BER_kgCO2/m2;EUI_kWh/m2;Ta_max_degC;Boiler_max_kW;Chiller_max_kW;Interior_lighting_kWh/m2;Exterior_lighting_kWh/m2;Space_heating_(gas)_kWh/m2;Space_heating_(elec)_kWh/m2;Space_cooling_kWh/m2;Pumps_kWh/m2;Fans_interior_kWh/m2;DHW_heating_kWh/m2;Receptacle_equipment_kWh/m2;Elevators_escalators_kWh/m2;Data_center_equipment_kWh/m2;Cooking_(gas)_kWh/m2;Cooking_(elec)_kWh/m2;Refrigeration_kWh/m2;Wind_PV_kWh/m2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;0.78;20.31;2.32;20;;;0.0;87.8;338.8;387.4;12.7;14.5;42.4;0.0;81.7;73.1;58.3;190.3;6.1;0.9;0.0;8.2;16.5;9.7;6.4;12.7;16.8;2.7;2.5;0.0;0.0;3.8;-6.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;0.78;20.31;2.32;14;;;0.0;83.7;338.8;367.4;12.7;13.8;40.2;0.0;77.5;72.9;58.3;189.0;6.1;0.9;0.0;8.8;15.7;9.7;6.4;12.7;12.8;2.7;2.5;0.0;0.0;3.8;-6.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;0.78;20.31;2.32;26;;;0.0;92.0;338.8;408.2;12.7;15.3;44.6;0.0;85.8;73.2;58.3;191.4;6.1;0.9;0.0;7.5;17.3;9.8;6.3;12.7;20.7;2.7;2.5;0.0;0.0;3.8;-6.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;0.78;20.31;1.62;20;;;0.0;86.5;338.8;380.7;12.7;14.3;41.7;0.0;80.4;73.0;58.3;189.6;4.9;0.9;0.0;8.4;16.2;9.7;6.4;12.7;16.8;2.7;2.5;0.0;0.0;3.8;-6.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;0.78;20.31;1.62;14;;;0.0;82.4;338.8;361.0;12.7;13.5;39.6;0.0;76.3;72.8;58.3;186.4;4.9;0.9;0.0;9.0;15.5;9.7;6.4;12.7;12.8;2.7;2.5;0.0;0.0;3.8;-6.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;0.78;20.31;1.62;26;;;0.0;90.7;338.8;401.4;12.7;15.1;43.9;0.0;84.5;73.1;58.3;190.8;4.9;0.9;0.0;7.7;17.0;9.8;6.3;12.7;20.7;2.7;2.5;0.0;0.0;3.8;-6.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;0.78;20.31;3.02;20;;;0.0;89.1;338.8;393.9;12.7;14.8;43.0;0.0;82.9;73.1;58.3;191.0;7.3;0.9;0.0;8.0;16.7;9.7;6.4;12.7;16.8;2.7;2.5;0.0;0.0;3.8;-6.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;0.78;20.31;3.02;14;;;0.0;84.9;338.8;373.8;12.7;14.0;40.9;0.0;78.8;73.0;58.3;190.0;7.3;0.9;0.0;8.6;15.9;9.7;6.4;12.7;12.8;2.7;2.5;0.0;0.0;3.8;-6.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;0.78;20.31;3.02;26;;;0.0;93.3;338.8;414.9;12.7;15.6;45.2;0.0;87.2;73.2;58.3;191.8;7.3;0.9;0.0;7.3;17.5;9.8;6.4;12.7;20.7;2.7;2.5;0.0;0.0;3.8;-6.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;0.78;14.22;2.32;20;;;0.0;94.0;483.7;440.0;18.1;16.5;45.6;0.0;87.9;73.5;83.3;192.6;6.1;0.9;0.0;6.7;18.5;9.8;6.4;18.1;16.8;2.7;2.5;0.0;0.0;3.8;-6.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
