run;dhw_lph_per_person;people_m2_per_person;gen_lighting_gain;computer_gain;Gas_MWh;Elec_MWh;Gas_kWh/m2;Elec_kWh/m2;Boilers_MWh;Chillers_MWh;Boilers_kWh/m2;Chillers_kWh/m2;CE_kgCO2/m2;UK_BER_kgCO2/m2;EUI_kWh/m2;Ta_max_degC;Boiler_max_kW;Chiller_max_kW;Interior_lighting_kWh/m2;Exterior_lighting_kWh/m2;Space_heating_(gas)_kWh/m2;Space_heating_(elec)_kWh/m2;Space_cooling_kWh/m2;Pumps_kWh/m2;Fans_interior_kWh/m2;DHW_heating_kWh/m2;Receptacle_equipment_kWh/m2;Elevators_escalators_kWh/m2;Data_center_equipment_kWh/m2;Cooking_(gas)_kWh/m2;Cooking_(elec)_kWh/m2;Refrigeration_kWh/m2;Wind_PV_kWh/m2
26;0.4;5.75;Lighting3;Equipment3;0.0;3893.92;0.0;145.98;256.72;0.02;9.62;0.0;73.62;0.0;145.98;4.186.000.061.035.150;78.15;0.09;9.35;0.6;0.0;9.06;29.66;0.0;12.86;38.9;31.3;6.12;0.0;0.0;0.0;2.57;-4.13
27;0.7;8.6;Lighting1;Equipment1;0.0;3898.59;0.0;146.15;300.4;0.01;11.26;0.0;73.71;0.0;146.15;40.599.998.474.121.000;91.45;0.06;7.51;0.6;0.0;12.78;25.56;0.0;12.74;45.53;27.46;6.12;0.0;0.0;0.0;2.57;-4.13
28;0.7;8.6;Lighting1;Equipment2;0.0;3761.26;0.0;141.0;300.4;0.01;11.26;0.0;71.04;0.0;141.0;4.058.000.183.105.460;91.45;0.06;7.51;0.6;0.0;14.68;24.26;0.0;12.82;45.53;21.7;6.12;0.0;0.0;0.0;2.57;-4.13
29;0.7;8.6;Lighting1;Equipment3;0.0;4005.77;0.0;150.17;300.4;0.01;11.26;0.0;75.8;0.0;150.17;4.061.000.061.035.150;91.45;0.06;7.51;0.6;0.0;12.11;26.31;0.0;12.78;45.53;31.3;6.12;0.0;0.0;0.0;2.57;-4.13
30;0.7;8.6;Lighting2;Equipment1;0.0;3872.07;0.0;145.16;300.4;0.01;11.26;0.0;73.2;0.0;145.16;40.599.998.474.121.000;91.45;0.06;6.58;0.6;0.0;13.0;25.30;0.0;12.72;45.53;27.46;6.12;0.0;0.0;0.0;2.57;-4.13
31;0.7;8.6;Lighting2;Equipment2;0.0;3743.49;0.0;140.34;300.4;0.01;11.26;0.0;70.69;0.0;140.34;4.058.000.183.105.460;91.45;0.06;6.58;0.6;0.0;15.11;24.06;0.0;12.86;45.53;21.7;6.12;0.0;0.0;0.0;2.57;-4.13
32;0.7;8.6;Lighting2;Equipment3;0.0;3982.15;0.0;149.28;300.4;0.01;11.26;0.0;75.34;0.0;149.28;4.061.000.061.035.150;91.45;0.06;6.58;0.6;0.0;12.31;26.16;0.0;12.78;45.53;31.3;6.12;0.0;0.0;0.0;2.57;-4.13
33;0.7;8.6;Lighting3;Equipment1;0.0;3953.17;0.0;148.2;300.4;0.01;11.26;0.0;74.77;0.0;148.2;4.061.000.061.035.150;91.45;0.07;9.35;0.6;0.0;12.4;26.06;0.0;12.78;45.53;27.46;6.12;0.0;0.0;0.0;2.57;-4.13
34;0.7;8.6;Lighting3;Equipment2;0.0;3798.11;0.0;142.39;300.4;0.01;11.26;0.0;71.76;0.0;142.39;4.059.000.015.258.780;91.45;0.06;9.35;0.6;0.0;13.89;24.62;0.0;12.77;45.53;21.7;6.12;0.0;0.0;0.0;2.57;-4.13
35;0.7;8.6;Lighting3;Equipment3;0.0;4053.6;0.0;151.96;300.4;0.01;11.26;0.0;76.73;0.0;151.96;40.619.998.931.884.700;91.45;0.07;9.35;0.6;0.0;11.71;26.64;0.0;12.79;45.53;31.3;6.12;0.0;0.0;0.0;2.57;-4.13
36;0.7;17.24;Lighting1;Equipment1;0.0;3313.94;0.0;124.23;149.87;0.0;5.62;0.0;62.34;0.0;124.23;39.349.998.474.121.000;45.62;0.05;7.51;0.6;0.0;17.33;22.16;0.0;12.7;22.7;27.46;6.12;0.0;0.0;0.0;2.57;-4.13
37;0.7;17.24;Lighting1;Equipment2;0.0;3211.0;0.0;120.38;149.87;0.0;5.62;0.0;60.33;0.0;120.38;3.933.000.183.105.460;45.62;0.05;7.51;0.6;0.0;19.95;21.20;0.0;13.0;22.7;21.7;6.12;0.0;0.0;0.0;2.57;-4.13
38;0.7;17.24;Lighting1;Equipment3;0.0;3430.5;0.0;128.6;149.87;0.0;5.62;0.0;64.6;0.0;128.6;3.936.000.061.035.150;45.62;0.05;7.51;0.6;0.0;16.51;23.31;0.0;12.82;22.7;31.3;6.12;0.0;0.0;0.0;2.57;-4.13
