run,dhw_lph_per_person,people_m2_per_person,gen_lighting_gain,computer_gain,Gas_MWh,Elec_MWh,Gas_kWh/m2,Elec_kWh/m2,Boilers_MWh,Chillers_MWh,Boilers_kWh/m2,Chillers_kWh/m2,CE_kgCO2/m2,UK_BER_kgCO2/m2,EUI_kWh/m2,Ta_max_degC,Boiler_max_kW,Chiller_max_kW,Interior_lighting_kWh/m2,Exterior_lighting_kWh/m2,Space_heating_(gas)_kWh/m2,Space_heating_(elec)_kWh/m2,Space_cooling_kWh/m2,Pumps_kWh/m2,Fans_interior_kWh/m2,DHW_heating_kWh/m2,Receptacle_equipment_kWh/m2,Elevators_escalators_kWh/m2,Data_center_equipment_kWh/m2,Cooking_(gas)_kWh/m2,Cooking_(elec)_kWh/m2,Refrigeration_kWh/m2,Wind_PV_kWh/m2
29,0.78,20.31,Lighting1,Equipment3,0.0,1651.33,0.0,61.91,228.01,274.76,8.55,10.3,29.99,0.0,57.78,49.2599983215332,39.25,128.8,4.1,0.6,0.0,5.07,11.63,6.57,4.27,8.54,13.96,1.79,1.66,0.0,0.0,2.57,-4.13
30,0.78,20.31,Lighting2,Equipment1,0.0,1553.06,0.0,58.22,228.02,256.26,8.55,9.61,28.08,0.0,54.1,49.130001068115234,39.25,127.58,3.29,0.6,0.0,5.63,10.91,6.55,4.3,8.54,11.28,1.79,1.66,0.0,0.0,2.57,-4.13
31,0.78,20.31,Lighting2,Equipment2,0.0,1479.73,0.0,55.47,228.03,242.96,8.55,9.11,26.65,0.0,51.35,49.029998779296875,39.25,125.48,3.29,0.6,0.0,6.09,10.4,6.54,4.33,8.54,8.6,1.79,1.66,0.0,0.0,2.57,-4.13
32,0.78,20.31,Lighting2,Equipment3,0.0,1627.93,0.0,61.03,228.01,270.15,8.55,10.13,29.53,0.0,56.9,49.22999954223633,39.25,128.42,3.29,0.6,0.0,5.19,11.45,6.57,4.27,8.54,13.96,1.79,1.66,0.0,0.0,2.57,-4.13
33,0.78,20.31,Lighting3,Equipment1,0.0,1599.1,0.0,59.95,228.02,265.15,8.55,9.94,28.97,0.0,55.82,49.20000076293945,39.25,128.55,4.91,0.6,0.0,5.36,11.25,6.56,4.3,8.54,11.28,1.79,1.66,0.0,0.0,2.57,-4.13
34,0.78,20.31,Lighting3,Equipment2,0.0,1524.83,0.0,57.16,228.02,251.6,8.55,9.43,27.53,0.0,53.04,49.099998474121094,39.25,127.88,4.91,0.6,0.0,5.81,10.73,6.55,4.33,8.54,8.6,1.79,1.66,0.0,0.0,2.57,-4.13
35,0.78,20.31,Lighting3,Equipment3,0.0,1674.7,0.0,62.78,228.01,279.26,8.55,10.47,30.44,0.0,58.66,49.290000915527344,39.25,129.11,4.91,0.6,0.0,4.94,11.8,6.58,4.28,8.54,13.96,1.79,1.66,0.0,0.0,2.57,-4.13
36,0.78,14.22,Lighting1,Equipment1,0.0,1688.65,0.0,63.3,325.55,296.12,12.2,11.1,30.71,0.0,59.18,49.439998626708984,56.05,129.63,4.1,0.6,0.0,4.53,12.48,6.59,4.31,12.2,11.28,1.79,1.66,0.0,0.0,2.57,-4.13
37,0.78,14.22,Lighting1,Equipment2,0.0,1611.85,0.0,60.43,325.55,281.7,12.2,10.56,29.22,0.0,56.3,49.34000015258789,56.05,129.59,4.1,0.6,0.0,4.92,11.92,6.58,4.33,12.2,8.6,1.79,1.66,0.0,0.0,2.57,-4.13
38,0.78,14.22,Lighting1,Equipment3,0.0,1767.21,0.0,66.25,325.55,311.03,12.2,11.66,32.24,0.0,62.12,49.540000915527344,56.05,129.45,4.1,0.6,0.0,4.16,13.05,6.61,4.31,12.2,13.96,1.79,1.66,0.0,0.0,2.57,-4.13
39,0.78,14.22,Lighting2,Equipment1,0.0,1664.83,0.0,62.41,325.55,291.52,12.2,10.93,30.25,0.0,58.29,49.40999984741211,56.05,129.57,3.29,0.6,0.0,4.64,12.3,6.59,4.31,12.2,11.28,1.79,1.66,0.0,0.0,2.57,-4.13
40,0.78,14.22,Lighting2,Equipment2,0.0,1588.34,0.0,59.54,325.56,277.05,12.2,10.39,28.76,0.0,55.42,49.310001373291016,56.05,129.61,3.29,0.6,0.0,5.05,11.74,6.57,4.33,12.2,8.6,1.79,1.66,0.0,0.0,2.57,-4.13
41,0.78,14.22,Lighting2,Equipment3,0.0,1743.06,0.0,65.34,325.55,306.34,12.2,11.48,31.77,0.0,61.22,49.5,56.05,129.64,3.29,0.6,0.0,4.27,12.87,6.61,4.31,12.2,13.96,1.79,1.66,0.0,0.0,2.57,-4.13
42,0.78,14.22,Lighting3,Equipment1,0.0,1712.77,0.0,64.21,325.55,300.88,12.2,11.28,31.18,0.0,60.08,49.470001220703125,56.05,129.47,4.91,0.6,0.0,4.42,12.66,6.6,4.32,12.2,11.28,1.79,1.66,0.0,0.0,2.57,-4.13
43,0.78,14.22,Lighting3,Equipment2,0.0,1635.28,0.0,61.3,325.55,286.2,12.2,10.73,29.68,0.0,57.18,49.380001068115234,56.05,129.62,4.91,0.6,0.0,4.8,12.1,6.58,4.33,12.2,8.6,1.79,1.66,0.0,0.0,2.57,-4.13
44,0.78,14.22,Lighting3,Equipment3,0.0,1791.67,0.0,67.17,325.55,315.78,12.2,11.84,32.72,0.0,63.04,49.56999969482422,56.05,129.65,4.91,0.6,0.0,4.06,13.23,6.62,4.32,12.2,13.96,1.79,1.66,0.0,0.0,2.57,-4.13
45,0.78,26.4,Lighting1,Equipment1,0.0,1518.56,0.0,56.93,175.29,243.01,6.57,9.11,27.4,0.0,52.8,49.02000045776367,30.17,122.62,4.1,0.6,0.0,6.07,10.39,6.54,4.31,6.57,11.28,1.79,1.66,0.0,0.0,2.57,-4.13
46,0.78,26.4,Lighting1,Equipment2,0.0,1446.77,0.0,54.24,175.3,230.48,6.57,8.64,26.01,0.0,50.11,48.91999816894531,30.17,120.25,4.1,0.6,0.0,6.56,9.9,6.52,4.34,6.57,8.6,1.79,1.66,0.0,0.0,2.57,-4.13
